"双南带大花园精装修全明户型，三十而已，您的安居选择,https://sh.lianjia.com/ershoufang/107103189754.html"
"建筑结构,钢混结构"
"装修情况,简装"
"梯户比例,两梯四户"
"配备电梯,有"
"一手动迁税费少，价格优惠！方正户型！业主诚售！,核心卖点"
"本房位于城鸿路222弄银杏苑，该小区始建于2012年，小区的物业费用为1.23平米/月，由玉星物业公司管理，有（地上/地下）车位，并且小区设立门禁且小区内有保安巡逻,小区介绍"
"产权清晰税费少，首套房个税一个点, 契税客户首套1个点 ，二套3个点,税费解析"
"万达广场，奥特莱斯，泗泾老街，泗泾公园，佘山森林公园， 欢乐谷，门口公交车到泗泾大润发很方便的，目前佘山站出口4万方综合体（已经封顶），新凯二期北门有一个8万多平方的广场综合体正在建造。,周边配套"
"九号线佘山站，公交线路有191路，45路，186路，沪陈线等，小区门口有共享单车，交通便利，另有大润发班车穿行。17号线直达虹桥机场,交通出行"
"电梯南北两房，目前在售总价比较低的电梯房,https://sh.lianjia.com/ershoufang/107102605282.html"
"房屋户型,2室1厅1厨1卫"
"所在楼层,低楼层 (共15层)"
"建筑面积,63.83㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,塔楼"
"房屋朝向,南"
"建筑结构,钢混结构"
"装修情况,简装"
"梯户比例,两梯二十户"
"配备电梯,有"
"电梯南北两房，目前在售总价比较低的电梯房,核心卖点"
"小区为1988年单位建造福利分房，位于斜土路小木桥路路口，单栋小区，两梯20户，总高15楼，正看日晖绿地。生活配套成熟：医疗（中山医院、肿瘤医院）交通（地铁4号线、12号线大木桥路站，9号线嘉善路站）,小区介绍"
"孕婴老幼：本房目前是出租，新装修，无甲醛，人车分流，人文环境好。 首付不高：贷款方式不限，适合首付不多的小两口。 家有老人：电梯房，配套齐全，近中山医院。,适宜人群"
"小区旁边就是日晖绿地，是一个小型的公园，距离徐汇滨江2公里路程，配套有打浦桥的日月光，龙华中路旁的正大乐城和绿地缤纷城，医疗有中山医院和瑞金医院，都是上海比较优质的专科医院。,周边配套"
"此房无抵押贷款，里面有户口，可以迁出，产权清晰，所以产权也很清晰，可以放心购买。,权属抵押"
"距离4号线12号线大木桥路地铁站3号口710米（数据来源于百度地图） 距离斜土路大木桥路公交站台50米（数据来源于百度地图）,交通出行"
"秀苑小区新出房源+售后公房+满五唯一+带有窗阁楼,https://sh.lianjia.com/ershoufang/107103159024.html"
"房屋户型,2室1厅1厨1卫"
"所在楼层,高楼层 (共6层)"
"建筑面积,68.01㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南 北"
"建筑结构,砖混结构"
"装修情况,简装"
"梯户比例,一梯两户"
"配备电梯,无"
"此房是售后公房，且满五年唯一，带有窗阁楼，全明户型。,核心卖点"
"小区是94年~02年的房龄，分别分为多层和高层电梯房。小区环境好，绿化较高。,小区介绍"
"房龄是96年，客厅朝南有窗，主卧朝南带阳台，次卧朝北，厨卫朝北。有个带窗的阁楼，全明的户型。,户型介绍"
"售房原因：业主是一手买进，现在考虑置换到其他的区域，所以诚意出售。,售房详情"
"此房产权干净清晰，没有抵押，没有贷款，您不用担心此类问题，可放心购买。,权属抵押"
"邻汶水路高架出口，出行十分方便。小区出门就是132路, 134路, 142路, 518路, 853路 .59路 .21路等多路公交。门口是广灵四路，现与新静安的灵石路已经连接，去静安再也不用绕路，直行就到。轻轨有3号线，1号线（19号线以公告为准）。,交通出行"
"沿河景观  位置好  精装修  楼层好 视野佳,https://sh.lianjia.com/ershoufang/107103150548.html"
"房屋户型,2室2厅1厨1卫"
"所在楼层,中楼层 (共9层)"
"建筑面积,84.18㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南 北"
"建筑结构,钢混结构"
"装修情况,精装"
"梯户比例,一梯三户"
"配备电梯,有"
"此房采光充足 通风好 居住舒适 配套成熟 交通便利,核心卖点"
"医 院：泗泾医院、松江第 一人民医院等 银 行：中国银行、农业银行、工商银行、建设银行等 商 业：三湘商 业广场、大润发、家乐福、保利悦活荟等 公 园：泗泾公园、佘山植物园、佘山国家森林公园等,周边配套"
"小区位于泗泾板块，在九号地铁线泗泾地铁站和佘山地铁站之间，门口就是公交站，有191路，47路，1845路等直达地铁站，到漕河泾，徐家汇等十分方便,交通出行"
"1楼带花园，新装修（花了重金），真正的拎包即住,https://sh.lianjia.com/ershoufang/107103039180.html"
"房屋户型,3室2厅1厨2卫"
"所在楼层,低楼层 (共6层)"
"建筑面积,65.35㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,砖混结构"
"装修情况,精装"
"梯户比例,一梯四户"
"配备电梯,无"
"带花园，新装修实用小三房，真正的拎包即住,核心卖点"
"一楼带约12平米天井，西边间南 北 通 风，原始2房改成了小3房，很实用,户型介绍"
"业主家的孩子计划要在虹鹿 幼 儿 园上学的，所以重金装修了此房，用于一家人自住。现在孩子也被浦东的国际学 校录取，最 后决定让孩子去读国际学 校。所以置换掉这套去国际学 校旁再买。,售房详情"
"一公里范围内有两家公立医院，其中上海武警医院为三甲医院，上海市闵行区中医院为二甲医院，商场有宝燕一号，爱琴海购物广场,周边配套"
"进口德国威能地暖、菲林格尔地板、东鹏瓷砖老板厨具、科勒洁具卫浴，灯大部分是进口的，窗帘、伸缩雨棚、鞋柜都一应俱全。院子也用竹子加固了，院内有太阳能灯也有通电灯，院里也有水龙头，方便浇花,装修描述"
"小区位于虹中路780弄，距离71路中运量快速公交120米，距 10号线 1.1公里（百度地图），开车上延安高架方便快捷,交通出行"
"此房满五年，南北两房通透，通风采光良好，诚意出售,https://sh.lianjia.com/ershoufang/107103139811.html"
"房屋户型,2室1厅1厨1卫"
"所在楼层,中楼层 (共6层)"
"建筑面积,70.04㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南 北"
"建筑结构,砖混结构"
"装修情况,精装"
"梯户比例,一梯两户"
"配备电梯,无"
"此房买进满五年，南北两房通透户型，通风采光良好，诚意出售,核心卖点"
"洋泾花园城位于苗圃路近栖山路，是2000年所建造的楼盘。小区以多层建筑为主，区内有一些休闲的长椅和儿童乐园等设施。在绿化设计方面，处了区中的花坛之外，其他基本以楼栋之间的主团绿化。配套较为齐全，有公利医院、超市、购物广场等，,小区介绍"
"此房2000年建成，一梯两户，南北两房，一个卫生间，一房朝南，一房朝北通透户型，中间是厅，通风采光良好。,户型介绍"
"小区为1997-2000年的商品房，小区环境好，绿化高。适合一家人居住，小年轻夫妻或者老人居住。出门既是大型的超市，购物便利；生活配套齐全。,适宜人群"
"洋泾属于内环内地段，是离陆家嘴最近的一个区域！所以旁边配套还是比较完善的，例如：医疗我们有公立医院，商/业有旭辉置业广场，光合新做，旁边有中国银行，建设银行，上海银行，江苏银行。超市、饭店、花园等配套齐全。,周边配套"
"大家都知道，在上海最不缺的就是交通！可是能够做到出门即到，而且通往各个区域的房源极为少数的。而这套房源，可以满足的的一切需求，我们属于三轨（6号线-14号线-18号线) 大家都知道14号线是个大工程，2021年初就通车啦,交通出行"
"满五唯一，精装修可拎包入住，楼层好，采光无遮挡,https://sh.lianjia.com/ershoufang/107103139813.html"
"房屋户型,1室1厅0厨1卫"
"所在楼层,中楼层 (共6层)"
"建筑面积,45.03㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,砖混结构"
"装修情况,精装"
"梯户比例,一梯五户"
"配备电梯,无"
"此房满五唯一，楼层好，采光无遮挡，房东诚意出售,核心卖点"
"小区位于杨浦区中原板块好位置，进地铁8号线嫩江路站，小区绿化好，自带幼儿园。,小区介绍"
"户型方正 无遮挡，采光充足，户型正气，格局好，配套-设施齐全，房东诚意出售,户型介绍"
"提前约基本都可以看房，房东诚意出售，满五唯一的，房东卖掉是变现的,售房详情"
"全屋精装修，家电家具保养很好，房东自住，装修材质环保，房屋装修细节设计合理，买入可直接拎包入住或出租。,装修描述"
"小区共有多个出口，出中原路门就是地铁8号线嫩江站4号口，中原路出口有813，842，28，522，577，大桥三线等多路公交车,交通出行"
"买入价高税费低，精装自住装修，满五唯一，诚心出售,https://sh.lianjia.com/ershoufang/107103183330.html"
"房屋户型,3室1厅1厨1卫"
"所在楼层,中楼层 (共5层)"
"建筑面积,78.44㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,砖混结构"
"装修情况,精装"
"梯户比例,一梯六户"
"配备电梯,无"
"买入价高税费低，精装自住装修，满五唯一，诚心出售,核心卖点"
"小区100米是农业银行，2公里是浦东商场跟浦蜂莲花，农工商，小区过一个红绿灯就是王桥菜市场，川沙大型的批发市场,周边配套"
"房子的税费很低，满五唯一没有个税，增值税只有几万块钱，房子很不错,税费解析"
"房子装修是精装修的，房东之前是自己住的婚房装修，拎包入住完全没有问题,装修描述"
"房子现在产权是很干净的，比较放心 ，详情随时可为您解答....,权属抵押"
"精装修 小区位置好 中间楼层 采光好 诚心出售  近地铁,https://sh.lianjia.com/ershoufang/107102785325.html"
"房屋户型,1室1厅1厨1卫"
"所在楼层,中楼层 (共6层)"
"建筑面积,45.38㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,砖混结构"
"装修情况,精装"
"梯户比例,一梯四户"
"配备电梯,无"
"小区位置好 中间楼层 采光好 诚心出售  靠6、7、13号地铁！,核心卖点"
"小区是94到97年由上南众开开发集团建造，共156栋，2238户，绿 化 率37%，容 积 率1.7，地上车位360个，车位比1:0.7，昌七小区有南码头路1675弄、南码头路1621弄，成山路1035弄、成山路963弄四个弄，房龄在94-97年期间，属浦东世博、南码头板块。,小区介绍"
"房子是1996建成，小区经多年发展，其环境及配套很适合居住；位于高区，视野开阔，采光充足，房子朝向为南，主卧朝南带阳台，空间开阔，次卧朝北，客厅朝南带阳台，南 北 通双阳台，全明户型。,户型介绍"
"世博板块，配套成熟。交通方便 :地铁6号线 7号线 8号线 13号线 银行 商场 菜场 小吃 等等,周边配套"
"房屋产权：房子为业主为二手买进的，满三年唯一 税费金额：免增值税，有1%个税，客户首套契税1%，二套契税3%,税费解析"
"小区南门出向西步行，700米到达6/13号线东明路地铁站，且近6/7号线高科西路地铁站。三轨交汇。小区西门公交站有184；219；338；572；572；604；782;浦东36；隧道九线;隧道一线。自驾：西藏南路隧道、打浦路隧道、龙耀路隧道，卢浦大桥、南浦大桥,交通便利,交通出行"
"10号线动物园地铁口200米 中间楼层 边套全明 诚意出售,https://sh.lianjia.com/ershoufang/107103175507.html"
"房屋户型,1室1厅1厨1卫"
"所在楼层,中楼层 (共5层)"
"建筑面积,40.02㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,砖混结构"
"装修情况,精装"
"梯户比例,一梯四户"
"配备电梯,无"
"此房满五唯一，中间楼层的，全明户型，业主自住精装，拎包入住,核心卖点"
"此房为一房一厅，主卧朝南的，客厅有个朝西的窗户，厨房和卫生间也都有窗户，户型正气，采光充足,户型介绍"
"房子是二手买进，满五年唯一，没有个人所得税，房东诚意出售，到价签字。,税费解析"
"此房产权清晰，无抵押，无贷款，价到签字，正常付款可以，诚意出售,权属抵押"
"地铁公交方便，出门200米到地铁10号线上海动物园站，多条公交线91，196，807路等经过。,交通出行"
"G4精装满五唯一，诚意出售，出入便利，结构合理,https://sh.lianjia.com/ershoufang/107103121338.html"
"房屋户型,3室2厅1厨1卫"
"所在楼层,低楼层 (共16层)"
"建筑面积,88.94㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,钢混结构"
"装修情况,精装"
"梯户比例,两梯四户"
"配备电梯,有"
"此房满五唯一，税费少，开发商装修，中等楼层，业主诚意出售,核心卖点"
"公园：泗泾公园、佘山植物园、佘山国家森林公园等 医院：泗泾医院、松江第 一人民医院 商场：三湘广场、大润发、吉买盛、万达广场等 银行：建设银行、中国银行、工商银行、农业银行等 地铁：九号线泗泾站、佘山站,周边配套"
"交通出行方便，轨道交通九号线泗泾站佘山站之间，小区有多路公交车到地铁站，如191路、1845路、45路、47路、沪陈线等，小区门口出租车多,交通出行"
"两房朝南全明户型+中间楼层+业主置换急售+有钥匙,https://sh.lianjia.com/ershoufang/107102598034.html"
"房屋户型,2室1厅1厨1卫"
"所在楼层,中楼层 (共6层)"
"建筑面积,66.87㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,砖混结构"
"装修情况,简装"
"梯户比例,一梯两户"
"配备电梯,无"
"两房朝南全明户型+中间楼层+业主置换急售+有钥匙+满五年税费少,核心卖点"
"这个房子是两南朝南，客厅在中间带个朝北的窗户。厨房带朝北窗户，卫生间在中间也有窗户，全明户型。中间楼层，有钥匙看房方便。,户型介绍"
"业主现在一家人都住在浦西，想在那边再卖一套，已将看好了，诚意出售。,售房详情"
"该房屋是一手动迁的，无增值税，个税1%，契税：首套1%，二套3%，普通住宅,税费解析"
"房子是老装修的，保养的挺好，业主也是相当于毛坯的价格出售，之后可以按照自己风格随意装修。,装修描述"
"该房子是一手动迁的，没有贷款，没有抵押，交易方便，流程简单。,权属抵押"
"前滩康桥张江+满五唯一+近东门+中高区+视野开阔,https://sh.lianjia.com/ershoufang/107102877549.html"
"房屋户型,2室2厅1厨1卫"
"所在楼层,中楼层 (共12层)"
"建筑面积,90.47㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,钢混结构"
"装修情况,简装"
"梯户比例,一梯两户"
"配备电梯,有"
"满五唯一，税费少，近东门，中高区，视野开阔.,核心卖点"
"绿地集团建造的纯商品房小区。产权年限：为70年产权的住宅。建筑结构：钢筋混凝土结构。 小区环境：绿化40%，环境优美。有两个景观湖，还有多个花园休憩场地。 得房率：得房率高，一梯两户，公摊面积少。 24小时保安值岗，公安局联网监控，每栋楼都有门禁.,小区介绍"
"此房电梯高层，得房率高达79%左右，无遮挡采光充足，房屋功能分区明确，客厅朝南带阳台，厨房朝北。卫生间有窗户，通风干燥不闷热，主卧朝南带飘窗，次卧朝北,户型介绍"
"周浦幼儿园（一级）。周浦医院，曙光医院。菜场超市：小区南门秀沈路多家超市和菜市场 大型购物广场：小区东边1.6公里处有康桥大润达超市。小区南边2.6公里处有周浦万达广场。小区北边2.6公里处有东郊百联广场。小区东边1公里处康桥文化中运动健身。,周边配套"
"房屋产权：70年产权商品住宅，可以正常贷款 满五年唯一，二手买进买入价高，税费和贷款政策详情请咨询维护人,税费解析"
"18号康桥站6号出口，11号线御桥站，沪南路连接 外环，外环高速20，中环，内环；451路-人广，992路-陆家嘴，624路，975路，周康9路，龙大专线-龙阳路：浦东43，35路，581路(御桥站)，974路，龙惠专线，南新专线-上海火车站，343路夜线：,交通出行"
"此房二手买进，税费少，真如必看好房，V  I  P房,https://sh.lianjia.com/ershoufang/107102423046.html"
"房屋户型,2室2厅1厨1卫"
"所在楼层,高楼层 (共24层)"
"建筑面积,99.23㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,钢混结构"
"装修情况,精装"
"梯户比例,两梯四户"
"配备电梯,有"
"此房二手买进，税费少，视野采光好，房型正气，精装修,核心卖点"
"此房刚需改善都可以选择，适宜群体多，喜欢南北通的客户，目前自住群体工作在静安寺徐家汇等等,适宜人群"
"本房于2008年竣工，双南全明格局，采光无遮挡，视野好，2梯3户，得房率高！,户型介绍"
"小区门口就是真北家乐福，吃饭购物不用愁；芝川菜场就在小区边门出去50米；往曹杨路方向还有星光耀广场，吃喝玩乐集一体。,周边配套"
"本房源满4年，增值税：约8.2万（合同价格：496万）个人所得税：约9.9万 （合同价格：496万）,税费解析"
"小区位置在11，15号线上海西站，小区门口有家乐福，公交车（838,129，742,724,106,129,754等等）,交通出行"
"全新婚房装修+满五唯一税少+有产权车位！！！,https://sh.lianjia.com/ershoufang/107103119374.html"
"房屋户型,3室2厅0厨2卫"
"所在楼层,低楼层 (共31层)"
"建筑面积,147.85㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南 北"
"建筑结构,钢混结构"
"装修情况,精装"
"梯户比例,两梯四户"
"配备电梯,有"
"次此房满五年唯一，南北格局通透，视野开阔，采光无遮挡。,核心卖点"
"此房为07年建成的商品房，为板式结构，两房朝南，采光无遮挡。南北通风也十分通畅，是较好的户型。,户型介绍"
"业主卖房是为了置换大房子，方便三代人共同居住，诚意出售。提前预约基本都可以看，随时可以签约！,售房详情"
"房子为商品房，房东五年前买进，买入价500万，且本房满五年唯一，可以省去个人所得税，购房成本更少！,税费解析"
"小区出门就是和平公园，10号线四平路地铁站。享受瑞虹新城配套，生活方便。小区停车也十分方便车位充足！,周边配套"
"2017年新装修，2018年入住。婚房装修60万，拧包入住。目前装修很新。,装修描述"
"好楼层+全明户型+业主急售+南北通风！,https://sh.lianjia.com/ershoufang/107103154290.html"
"房屋户型,2室1厅1厨1卫"
"所在楼层,中楼层 (共5层)"
"建筑面积,52.36㎡"
"户型结构,平层"
"套内面积,50㎡"
"建筑类型,板楼"
"房屋朝向,南 北"
"建筑结构,砖混结构"
"装修情况,简装"
"梯户比例,一梯三户"
"配备电梯,无"
"新笋盘，中间楼层，全明户型，通风好，采光好！,核心卖点"
"罗秀三村小区属于徐汇长桥板块，分三期开发，于1992-1995年间竣工由111栋高档住宅组成，户型建筑面积为27.29-96.61平.楼间距较大通风较好，小区车位充足，停车方便。,小区介绍"
"区域有大型超市沃尔玛，购物方便；五家银行都在周 边 ，为您生活提供便利；上海的大型公园植物园就在边上，为您提供休闲场所；大华医院和长桥卫生所，为您提供医疗保障,周边配套"
"业主名下还有其他房产，有一个点个税，契税视自己情况，首套1%契税，二套3%契税,税费解析"
"产权人三个人，儿子98%份额，父母各1%份额，都在上海诚意出售！
产权清晰，业主诚售,权属抵押"
"小区出门有56路直达上海南站;731路通往12号线9号线;755路通往11号线6号线8号线教育考试院;804路通往10号线9号线12号线;闵行20路通往1号线5号线8号线浦江线 交通方便,交通出行"
"链家VlP,法式庄园,稀有户型，占地1506平米 装修好,https://sh.lianjia.com/ershoufang/107101458436.html"
"房屋户型,4室3厅1厨6卫"
"所在楼层,低楼层 (共2层)"
"建筑面积,798.37㎡"
"套内面积,暂无数据"
"房屋朝向,南"
"建筑结构,钢混结构"
"装修情况,精装"
"别墅类型,独栋"
"1，法式庄园不靠路
2，占地大
3，产权清晰
4，价格好谈,核心卖点"
"1，目前不住在这边了，房子闲置觉得对房子不好，索性找个有缘人
2，对付款没有太多要求，关键看客户
3，诚意卖房，不计较一定要卖什么价格，合适就卖了,售房详情"
"1、历时两年，斥资1000多万，每周两次大保养，空调地暖新风全有
2，目前房子在保养，9月5好之后可以安排看房了,装修描述"
"地铁0距离，电梯小三房，配套齐全，双xue区,https://sh.lianjia.com/ershoufang/107103157897.html"
"房屋户型,3室1厅1厨1卫"
"所在楼层,低楼层 (共24层)"
"建筑面积,104.3㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,钢混结构"
"装修情况,简装"
"梯户比例,两梯四户"
"配备电梯,有"
"此房满五年唯一，电梯中间楼层，功能性很强，配套齐全，近地铁,核心卖点"
"房子是2001年买进的，一房朝南，两房朝北，客厅朝北，小区第二排位置安静，中间楼层 ，东南朝向。,户型介绍"
"此房满五年唯一，增值税：25.5万左右，个人所得税：0，契税：首套：7.95万左右  二套：15.9万左右,税费解析"
"小区2公里处是一个大型、成熟的南方城商圈，有南方商城 莲花国际 中庚漫游城三座商场，再往东一点就是锦江乐园，平时周末或节假日可以去那里休闲娱乐，小区北门出去就是报春路生活购物街，像莘光菜市场 工商银行 建设银行，生活购物很方便。,周边配套"
"小区位置离地铁300米左右，从小区门口出来，穿过新梅天桥，就能到达一号线外环路站，除地铁外旁边的公交也很方便，比如去市里面的话可以乘坐732路，在古美莘庄的话可以乘坐150路公交车，自驾的话外环高速、沪闵高架、莘庄立交就在边,交通出行"
"2011品质社区+新城东华+全明户型+定制空调+地下车库,https://sh.lianjia.com/ershoufang/107103127444.html"
"房屋户型,2室2厅1厨1卫"
"所在楼层,中楼层 (共11层)"
"建筑面积,81.38㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,钢混结构"
"装修情况,精装"
"梯户比例,一梯两户"
"配备电梯,有"
"2011品质社区+新城东华+全明户型+定制空调+地下车库+税费少,核心卖点"
"小区由绿地集团于2011年打造，物业管理好。小区东临地中海商圈，南临英式风貌的泰晤士小镇，西邻小昆山，北邻上海之根广富林遗址，整体环境优美，有颇高的景观观赏价值。小区内部配套齐全，有老年活动社区，排球场，篮球场，还有一个开放式泳池,小区介绍"
"2011年品质社区，总高11楼的小高层，我家在高层，采光好，一南房一北房，南北直通。通风效果好。
阳台算一半面积，南北飘窗,户型介绍"
"小区门口有15、20、24路等多辆公交路线，15路、24路途经开元地中海、万达等商圈，直达大学城地铁站，20路直达松江新城地铁站。小区门口已规划有有轨电车。,交通出行"
"品质小区，空调和地暖、可拎包入住、诚心出售,https://sh.lianjia.com/ershoufang/107102735684.html"
"房屋户型,3室2厅1厨2卫"
"所在楼层,中楼层 (共11层)"
"建筑面积,90.94㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,南"
"建筑结构,钢混结构"
"装修情况,精装"
"梯户比例,一梯两户"
"配备电梯,暂无数据"
"绿中海明苑五期开发商统一装修，中空调+地暖，拎包入住。,核心卖点"
"绿中海明苑五期是2016年下半年建成，楼龄新，户型是2+1户型，这套是西边套，主卧的卫生间有窗户，光线通风不受影响，中间套主卧的卫生间有窗户的。,户型介绍"
"距绿中海五期700米处是鹤森生活广场，菜场，餐饮，购物，银行。大型购物商场有明年年初开业的万科天空之城的十万方商。业，百联奥特莱斯，家乐福和食尚天地，夏都小镇等。 幼儿园。,周边配套"
"距离17号线徐盈路站1.5公里，3站到虹桥火车站，与2号线无缝换乘。公交710路，徐泾3路，872路，虹桥枢纽6路；崧泽大道，年底即将通车的宋泽高架，沈海高速等。,交通出行"
"02年+地铁400+楼层好位置好+诚心出售+户型正气。,https://sh.lianjia.com/ershoufang/107103127639.html"
"房屋户型,2室1厅1厨1卫"
"所在楼层,中楼层 (共6层)"
"建筑面积,62.72㎡"
"户型结构,平层"
"套内面积,暂无数据"
"建筑类型,板楼"
"房屋朝向,东"
"建筑结构,钢混结构"
"装修情况,简装"
"梯户比例,一梯两户"
"配备电梯,无"
"此房房龄新，地铁400米，楼层好视野开阔，业主诚售，看房方便,核心卖点"
"小区为2002动迁房，多层，小区地上车位286个，楼梯房物业费0.5元，小区绿化好，环境优美，安静。距离顾唐路地铁站500米，距离民耀路菜市场300米，距离好日子幼儿园500米，距离宝龙广场400米，交通便利，生活方便，满足您的出行购物等需求,小区介绍"
"2002年的房龄新，楼层好采光好，户型朝南采光好，视野开阔，原始大一房，改动的很合理，没有浪费空间，一房的价格买俩房。,户型介绍"
"小区边上就是菜场，到民耀路上是餐饮一条街，宝龙广场是集餐饮、娱乐、休闲为一体的综合体，生活便利！宝龙城市广场，金泰广场（已完工招商中），肯德基，麦当劳，ktv。电影院，家乐福，健身房等，可以满足生活上班的需求。,周边配套"
"9号线地铁顾唐路站，12号线金海路站。浦东27路，浦东20路，993，991.蔡路专线，790.993施崂专线等，出行便利，外环S20也比较近。,交通出行"
